40;5
74;66
12;4
56;9
5;10
16;49
63;14
77;54
75;53
85;31
100;32
55;69
10;91
5;12
8;64
7;78
34;30
52;47
49;63
101;31
84;27
45;8
26;96
61;53
11;14
28;92
64;51
101;5
24;30
77;51
17;3
90;79
67;4
80;41
83;84
90;15
94;100
66;69
87;8
3;38
84;61
64;83
26;48
38;6
41;3
14;62
100;63
53;71
22;0
49;19
28;69
8;97
69;7
32;18
6;6
82;25
92;70
6;10
98;6
71;101
64;74
76;16
20;45
90;36
69;45
18;36
26;62
45;50
60;7
80;78
68;93
4;39
64;61
80;93
45;56
35;19
34;73
85;9
6;12
64;52
79;97
6;48
71;90
44;51
31;89
100;25
60;84
68;62
38;24
8;56
54;14
18;16
75;19
59;32
15;76
1;0
76;100
83;70
94;74
33;52
